Name,No,Date,Pitch_Type,Is_Strike,Strike_Zone_Side,Strike_Zone_Height,球速,回転数,True_Spin_release,回転効率,Spin_Direction,Spin_Confidence,VB_trajectory,HB_trajectory,VB_spin,HB_spin,Horizontal_Angle,Release_Angle,Release_Height,Release_Side,Release_Extension_ft,Gyro_Degree_deg,,,,,,,,,,,,,,,,,,,,,,
小林,2,2025/1/29,ChangeUp,Y,-20.37,99.17,134.32,2231.87,2169.2,97.19,1:56,0.9,51.8,50,30.4,49,-5.72,1.43,1.17,0.94,1.5271454,13.61,,,,,,,,,,,,,,,,,,,,,,
小林,3,2025/1/29,ChangeUp,N,-10.67,24.36,121.96,390.14,389.6,99.86,2:56,0.8,-10.9,36,1,19.8,-4.84,1.78,1.15,0.96,0,-3.05,,,,,,,,,,,,,,,,,,,,,,
小林,4,2025/1/29,ChangeUp,Y,-16.04,63.13,122.6,410.16,353.5,86.19,2:56,0.9,13.3,25.5,1,17.2,-4.76,1.62,1.21,0.88,0,30.47,,,,,,,,,,,,,,,,,,,,,,
小林,5,2025/1/29,ChangeUp,N,34.87,55.64,122.76,422.65,421.1,99.64,2:54,0.8,13.1,44.6,1,20.5,-3.68,1.42,1.18,0.9,0,4.9,,,,,,,,,,,,,,,,,,,,,,
小林,6,2025/1/29,ChangeUp,N,-27.1,82.59,137.23,2057.57,1978.5,96.16,2:22,0.9,44,40,16.7,47.7,-5.59,0.64,1.23,0.87,0,-15.94,,,,,,,,,,,,,,,,,,,,,,
小林,7,2025/1/29,Slider,Y,-9.58,67.88,108.21,1794.88,900.4,50.17,8:00,0.8,0.2,-44.2,-13.2,-26.9,-1.74,3.05,1.17,0.78,0,59.89,,,,,,,,,,,,,,,,,,,,,,
小林,8,2025/1/29,Slider,N,-58.33,103.09,118.38,2143.8,699.3,32.62,0:10,0.7,47.6,-9.8,18.4,-0.6,-5.05,1.54,1.21,0.84,0,70.96,,,,,,,,,,,,,,,,,,,,,,
小林,9,2025/1/29,Slider,N,-49.04,109.92,120.44,2041.99,671.2,32.87,0:06,0.7,0,0,18.1,-1,-4.62,0.94,1.25,0.97,0,70.81,,,,,,,,,,,,,,,,,,,,,,
小林,10,2025/1/29,Slider,N,-52.44,80.69,116.6,1999.88,593.9,29.7,0:12,0.9,16.3,-4.1,16.4,-0.7,-4.82,1.74,1.23,0.77,0,72.73,,,,,,,,,,,,,,,,,,,,,,
小林,11,2025/1/29,Slider,N,-25.73,68.36,124.24,2145.51,695,32.39,0:24,0.9,19,9.3,17.5,1.6,-4.49,2.19,1.15,0.98,0,71.1,,,,,,,,,,,,,,,,,,,,,,
小林,12,2025/1/29,ChangeUp,Y,-12.99,78.91,131.29,2164.54,2086.6,96.4,1:52,1,32.8,42.9,29,43.1,-5.51,0.91,1.22,0.92,0,15.43,,,,,,,,,,,,,,,,,,,,,,
小林,13,2025/1/29,ChangeUp,N,-7.41,113.16,141.86,2230.23,2225.3,99.78,1:54,0.7,0,0,31.4,48.8,-5.43,0.28,1.26,1.04,1.5357723,3.81,,,,,,,,,,,,,,,,,,,,,,
小林,14,2025/1/29,ChangeUp,N,8.88,112.17,134.02,2199.18,2148,97.67,1:54,0.9,37.2,47.4,28.6,44,-4.61,1.37,1.27,0.79,0,12.39,,,,,,,,,,,,,,,,,,,,,,
小林,15,2025/1/29,ChangeUp,N,-35.84,83.9,133.37,2248.05,2233.8,99.37,2:00,0.8,51.9,38.5,27.3,47,-6.01,0.07,1.25,0.88,0,6.46,,,,,,,,,,,,,,,,,,,,,,
小林,16,2025/1/29,ChangeUp,N,3,143.15,134.64,2243.68,2180.1,97.17,1:52,0.9,55,45.2,28.7,43.7,-4.67,2.24,1.29,0.82,0,13.67,,,,,,,,,,,,,,,,,,,,,,
小林,17,2025/1/29,ChangeUp,N,-0.04,144.57,133.66,2049.85,2022.3,98.66,1:46,1,41.7,44.3,31.8,42.8,-4.85,2.68,1.29,0.91,1.9813538,9.4,,,,,,,,,,,,,,,,,,,,,,
小林,1,2025/1/9,ChangeUp,Y,-16.7,67.9,124.59,2095.1,1968,93.94,1:22,0.7,-2.7,51.1,38.4,33.2,-4.93,2.18,1.13,0.65,0,20.06,,,,,,,,,,,,,,,,,,,,,,
小林,2,2025/1/9,Fastball,Y,-9.68,73.11,129.08,2114.24,1980.1,93.66,1:22,0.8,23.8,57.2,41.7,35.6,-4.98,1.89,1.1,0.76,1.569107,20.52,,,,,,,,,,,,,,,,,,,,,,
小林,3,2025/1/9,ChangeUp,N,-58.36,47.66,126.98,2081.23,1834.7,88.16,1:28,0.8,45.9,52.7,35.4,33.2,-6.58,-0.05,1.13,0.72,2.0792313,28.17,,,,,,,,,,,,,,,,,,,,,,
